DirectionFrom,DirectionTo,Distance,ETARouteName,LastTrackdt,Odometer,PrevTrackDt,RouteNo,Speed,VehId,VehNo,location.coordinates,location.type,routeflag
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:38:50.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.96875,19.267223]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:39:51.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.96875,19.267223]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:40:51.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.96875,19.267223]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:41:50.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.96875,19.267223]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:42:50.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.96875,19.267223]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:43:50.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.26722]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:44:50.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.26722]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:45:50.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.26722]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:46:51.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.26722]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:47:51.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.26722]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:48:51.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.26722]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:49:51.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.26722]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:50:51.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.26722]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:51:51.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.26722]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:52:51.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.26722]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:53:52.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.26722]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:54:52.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.26722]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:55:52.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.26722]",Point,true
ठाणे स्टेशन,को.पा. चि.मा.,0,ठाणे स्टेशन - को.पा. चि.मा.,2022-09-25T00:56:51.000Z,10075.166,2022-09-24T11:02:35.000Z,35,0,101,MH04-HY-1753,"[72.968773,19.26722]",Point,true
