AC,AUX1,CmpId,DI4,DirectionFrom,DirectionTo,DispatchDateTime,Distance,ETAOldTime,ETAOldTime1,ETARouteName,ETATime,ETATime1,Ignition,LastNCSentDate,LastTrackdt,Odometer,PrevTrackDt,RouteNo,Speed,VehId,VehNo,WaybillNo,_id,avgspeed,idx_Trackid_pk,location.coordinates,location.type,routeflag,token
false,true,1,false,वृंदावन सोसायटी,ठाणे स्थानक (प),2022-09-19T23:08:25.000Z,0.1,8.913969061610631,4.226101186743449,वृंदावन सोसायटी - ठाणे स्थानक (प),8.910214329400066,4.22373664033721,false,2019-06-29T02:59:19.157Z,2022-09-20T00:35:01.000Z,55541.2,2022-09-19T21:04:59.000Z,0,0,104,MH04-EP-788,401077422,632ddda61f9e9190d53de0f7,15.75,174,"[73.031281,19.170492]",Point,true,1663621802188
false,true,1,false,वृंदावन सोसायटी,ठाणे स्थानक (प),2022-09-19T23:08:25.000Z,0.1,8.913969061610631,4.226101186743449,वृंदावन सोसायटी - ठाणे स्थानक (प),8.910214329400066,4.22373664033721,false,2019-06-29T02:59:19.157Z,2022-09-20T00:35:11.000Z,55541.2,2022-09-19T21:04:59.000Z,0,0,104,MH04-EP-788,401077422,632ddda61f9e9190d53de112,15.75,174,"[73.031281,19.170492]",Point,true,1663621802188
false,true,1,false,वृंदावन सोसायटी,ठाणे स्थानक (प),2022-09-19T23:08:25.000Z,0.1,8.913969061610631,4.226101186743449,वृंदावन सोसायटी - ठाणे स्थानक (प),8.910214329400066,4.22373664033721,false,2019-06-29T02:59:19.157Z,2022-09-20T00:35:21.000Z,55541.2,2022-09-19T21:04:59.000Z,0,0,104,MH04-EP-788,401077422,632ddda71f9e9190d53de140,15.75,174,"[73.031281,19.170492]",Point,true,1663621802188
false,true,1,false,वृंदावन सोसायटी,ठाणे स्थानक (प),2022-09-19T23:08:25.000Z,0.1,8.913969061610631,4.226101186743449,वृंदावन सोसायटी - ठाणे स्थानक (प),8.910214329400066,4.22373664033721,false,2019-06-29T02:59:19.157Z,2022-09-20T00:35:31.000Z,55541.2,2022-09-19T21:04:59.000Z,0,0,104,MH04-EP-788,401077422,632ddda71f9e9190d53de16b,15.75,174,"[73.031281,19.170492]",Point,true,1663621802188
false,true,1,false,वृंदावन सोसायटी,ठाणे स्थानक (प),2022-09-19T23:08:25.000Z,0.1,8.913969061610631,4.226101186743449,वृंदावन सोसायटी - ठाणे स्थानक (प),8.910214329400066,4.22373664033721,false,2019-06-29T02:59:19.157Z,2022-09-20T00:35:41.000Z,55541.2,2022-09-19T21:04:59.000Z,0,0,104,MH04-EP-788,401077422,632ddda71f9e9190d53de1c0,15.75,174,"[73.031281,19.170492]",Point,true,1663621802188
false,true,1,false,वृंदावन सोसायटी,ठाणे स्थानक (प),2022-09-19T23:08:25.000Z,0.1,8.913969061610631,4.226101186743449,वृंदावन सोसायटी - ठाणे स्थानक (प),8.910214329400066,4.22373664033721,false,2019-06-29T02:59:19.157Z,2022-09-20T00:35:51.000Z,55541.2,2022-09-19T21:04:59.000Z,0,0,104,MH04-EP-788,401077422,632ddda71f9e9190d53de1dd,15.75,174,"[73.031281,19.170492]",Point,true,1663621802188
false,true,1,false,वृंदावन सोसायटी,ठाणे स्थानक (प),2022-09-19T23:08:25.000Z,0.1,8.913969061610631,4.226101186743449,वृंदावन सोसायटी - ठाणे स्थानक (प),8.910214329400066,4.22373664033721,false,2019-06-29T02:59:19.157Z,2022-09-20T00:36:01.000Z,55541.2,2022-09-19T21:04:59.000Z,0,0,104,MH04-EP-788,401077422,632ddda71f9e9190d53de1f2,15.75,174,"[73.031281,19.170492]",Point,true,1663621802188
false,true,1,false,वृंदावन सोसायटी,ठाणे स्थानक (प),2022-09-19T23:08:25.000Z,0.1,8.913969061610631,4.226101186743449,वृंदावन सोसायटी - ठाणे स्थानक (प),8.910214329400066,4.22373664033721,false,2019-06-29T02:59:19.157Z,2022-09-20T00:36:12.000Z,55541.2,2022-09-19T21:04:59.000Z,0,0,104,MH04-EP-788,401077422,632ddda71f9e9190d53de20b,15.75,174,"[73.031281,19.170492]",Point,true,1663621802188
false,true,1,false,वृंदावन सोसायटी,ठाणे स्थानक (प),2022-09-19T23:08:25.000Z,0.1,8.913969061610631,4.226101186743449,वृंदावन सोसायटी - ठाणे स्थानक (प),8.910214329400066,4.22373664033721,false,2019-06-29T02:59:19.157Z,2022-09-20T00:36:21.000Z,55541.2,2022-09-19T21:04:59.000Z,0,0,104,MH04-EP-788,401077422,632ddda81f9e9190d53de236,15.75,174,"[73.031281,19.170492]",Point,true,1663621802188
false,true,1,false,वृंदावन सोसायटी,ठाणे स्थानक (प),2022-09-19T23:08:25.000Z,0.1,8.913969061610631,4.226101186743449,वृंदावन सोसायटी - ठाणे स्थानक (प),8.910214329400066,4.22373664033721,false,2019-06-29T02:59:19.157Z,2022-09-20T00:36:31.000Z,55541.2,2022-09-19T21:04:59.000Z,0,0,104,MH04-EP-788,401077422,632ddda81f9e9190d53de250,15.75,174,"[73.031281,19.170492]",Point,true,1663621802188
false,true,1,false,वृंदावन सोसायटी,ठाणे स्थानक (प),2022-09-19T23:08:25.000Z,0.1,8.913969061610631,4.226101186743449,वृंदावन सोसायटी - ठाणे स्थानक (प),8.910214329400066,4.22373664033721,false,2019-06-29T02:59:19.157Z,2022-09-20T00:36:41.000Z,55541.2,2022-09-19T21:04:59.000Z,0,0,104,MH04-EP-788,401077422,632ddda81f9e9190d53de276,15.75,174,"[73.031281,19.170492]",Point,true,1663621802188
false,true,1,false,वृंदावन सोसायटी,ठाणे स्थानक (प),2022-09-19T23:08:25.000Z,0.1,8.913969061610631,4.226101186743449,वृंदावन सोसायटी - ठाणे स्थानक (प),8.910214329400066,4.22373664033721,false,2019-06-29T02:59:19.157Z,2022-09-20T00:36:51.000Z,55541.2,2022-09-19T21:04:59.000Z,0,0,104,MH04-EP-788,401077422,632ddda81f9e9190d53de2a3,15.75,174,"[73.031281,19.170492]",Point,true,1663621802188
false,true,1,false,वृंदावन सोसायटी,ठाणे स्थानक (प),2022-09-19T23:08:25.000Z,0.1,8.913969061610631,4.226101186743449,वृंदावन सोसायटी - ठाणे स्थानक (प),8.910214329400066,4.22373664033721,false,2019-06-29T02:59:19.157Z,2022-09-20T00:37:01.000Z,55541.2,2022-09-19T21:04:59.000Z,0,0,104,MH04-EP-788,401077422,632ddda81f9e9190d53de2d4,15.75,174,"[73.031281,19.170492]",Point,true,1663621802188
false,true,1,false,वृंदावन सोसायटी,ठाणे स्थानक (प),2022-09-19T23:08:25.000Z,0.1,8.913969061610631,4.226101186743449,वृंदावन सोसायटी - ठाणे स्थानक (प),8.910214329400066,4.22373664033721,false,2019-06-29T02:59:19.157Z,2022-09-20T00:37:12.000Z,55541.2,2022-09-19T21:04:59.000Z,0,0,104,MH04-EP-788,401077422,632ddda81f9e9190d53de304,15.75,174,"[73.031281,19.170492]",Point,true,1663621802188
false,true,1,false,वृंदावन सोसायटी,ठाणे स्थानक (प),2022-09-19T23:08:25.000Z,0.1,8.913969061610631,4.226101186743449,वृंदावन सोसायटी - ठाणे स्थानक (प),8.910214329400066,4.22373664033721,false,2019-06-29T02:59:19.157Z,2022-09-20T00:37:21.000Z,55541.2,2022-09-19T21:04:59.000Z,0,0,104,MH04-EP-788,401077422,632ddda91f9e9190d53de31d,15.75,174,"[73.031281,19.170492]",Point,true,1663621802188
false,true,1,false,वृंदावन सोसायटी,ठाणे स्थानक (प),2022-09-19T23:08:25.000Z,0.1,8.913969061610631,4.226101186743449,वृंदावन सोसायटी - ठाणे स्थानक (प),8.910214329400066,4.22373664033721,false,2019-06-29T02:59:19.157Z,2022-09-20T00:37:31.000Z,55541.2,2022-09-19T21:04:59.000Z,0,0,104,MH04-EP-788,401077422,632ddda91f9e9190d53de34d,15.75,174,"[73.031281,19.170492]",Point,true,1663621802188
false,true,1,false,वृंदावन सोसायटी,ठाणे स्थानक (प),2022-09-19T23:08:25.000Z,0.1,8.913969061610631,4.226101186743449,वृंदावन सोसायटी - ठाणे स्थानक (प),8.910214329400066,4.22373664033721,false,2019-06-29T02:59:19.157Z,2022-09-20T00:37:41.000Z,55541.2,2022-09-19T21:04:59.000Z,0,0,104,MH04-EP-788,401077422,632ddda91f9e9190d53de378,15.75,174,"[73.031281,19.170492]",Point,true,1663621802188
false,true,1,false,वृंदावन सोसायटी,ठाणे स्थानक (प),2022-09-19T23:08:25.000Z,0.1,8.913969061610631,4.226101186743449,वृंदावन सोसायटी - ठाणे स्थानक (प),8.910214329400066,4.22373664033721,false,2019-06-29T02:59:19.157Z,2022-09-20T00:37:51.000Z,55541.2,2022-09-19T21:04:59.000Z,0,0,104,MH04-EP-788,401077422,632ddda91f9e9190d53de3b5,15.75,174,"[73.031281,19.170492]",Point,true,1663621802188
