LastTrackdt,VehId,VehNo,location.coordinates,location.type
2022-09-25T00:24:34.000Z,169,MH04-EP-836,"[72.976936,19.195385]",Point
2022-09-25T00:24:44.000Z,169,MH04-EP-836,"[72.977028,19.195395]",Point
2022-09-25T00:24:54.000Z,169,MH04-EP-836,"[72.977104,19.195402]",Point
2022-09-25T00:25:04.000Z,169,MH04-EP-836,"[72.977142,19.195423]",Point
2022-09-25T00:25:13.000Z,169,MH04-EP-836,"[72.977158,19.195433]",Point
2022-09-25T00:25:23.000Z,169,MH04-EP-836,"[72.977142,19.195436]",Point
2022-09-25T00:25:34.000Z,169,MH04-EP-836,"[72.977058,19.1954]",Point
2022-09-25T00:25:44.000Z,169,MH04-EP-836,"[72.976997,19.195337]",Point
2022-09-25T00:25:54.000Z,169,MH04-EP-836,"[72.97699,19.195362]",Point
2022-09-25T00:26:13.000Z,169,MH04-EP-836,"[72.977104,19.195402]",Point
2022-09-25T00:26:24.000Z,169,MH04-EP-836,"[72.977028,19.195402]",Point
2022-09-25T00:26:34.000Z,169,MH04-EP-836,"[72.977051,19.195393]",Point
2022-09-25T00:26:44.000Z,169,MH04-EP-836,"[72.977028,19.195393]",Point
2022-09-25T00:26:53.000Z,169,MH04-EP-836,"[72.97702,19.195391]",Point
2022-09-25T00:27:04.000Z,169,MH04-EP-836,"[72.977081,19.195408]",Point
2022-09-25T00:27:14.000Z,169,MH04-EP-836,"[72.977036,19.195431]",Point
2022-09-25T00:27:24.000Z,169,MH04-EP-836,"[72.977081,19.195435]",Point
2022-09-25T00:27:34.000Z,169,MH04-EP-836,"[72.97702,19.195431]",Point
2022-09-25T00:27:44.000Z,169,MH04-EP-836,"[72.977036,19.195433]",Point
2022-09-25T00:27:54.000Z,169,MH04-EP-836,"[72.976974,19.195393]",Point
2022-09-25T00:28:04.000Z,169,MH04-EP-836,"[72.977036,19.195404]",Point
2022-09-25T00:28:14.000Z,169,MH04-EP-836,"[72.97715,19.195423]",Point
2022-09-25T00:28:24.000Z,169,MH04-EP-836,"[72.977158,19.195459]",Point
2022-09-25T00:28:33.000Z,169,MH04-EP-836,"[72.977104,19.195465]",Point
2022-09-25T00:28:44.000Z,169,MH04-EP-836,"[72.977089,19.195435]",Point
2022-09-25T00:28:54.000Z,169,MH04-EP-836,"[72.977058,19.195408]",Point
2022-09-25T00:29:04.000Z,169,MH04-EP-836,"[72.977058,19.195393]",Point
2022-09-25T00:29:14.000Z,169,MH04-EP-836,"[72.977058,19.195402]",Point
2022-09-25T00:29:24.000Z,169,MH04-EP-836,"[72.977043,19.195389]",Point
2022-09-25T00:29:34.000Z,169,MH04-EP-836,"[72.977028,19.1954]",Point
2022-09-25T00:29:44.000Z,169,MH04-EP-836,"[72.977005,19.195417]",Point
2022-09-25T00:29:54.000Z,169,MH04-EP-836,"[72.977066,19.195402]",Point
2022-09-25T00:30:04.000Z,169,MH04-EP-836,"[72.977005,19.195381]",Point
2022-09-25T00:30:14.000Z,169,MH04-EP-836,"[72.977028,19.195442]",Point
2022-09-25T00:30:24.000Z,169,MH04-EP-836,"[72.977043,19.195414]",Point
2022-09-25T00:30:34.000Z,169,MH04-EP-836,"[72.977097,19.195417]",Point
2022-09-25T00:30:44.000Z,169,MH04-EP-836,"[72.977051,19.19541]",Point
2022-09-25T00:30:54.000Z,169,MH04-EP-836,"[72.977051,19.195404]",Point
2022-09-25T00:31:05.000Z,169,MH04-EP-836,"[72.977066,19.195423]",Point
2022-09-25T00:31:14.000Z,169,MH04-EP-836,"[72.977058,19.195736]",Point
2022-09-25T00:31:24.000Z,169,MH04-EP-836,"[72.977036,19.195835]",Point
2022-09-25T00:31:34.000Z,169,MH04-EP-836,"[72.977058,19.19606]",Point
2022-09-25T00:31:45.000Z,169,MH04-EP-836,"[72.97715,19.196186]",Point
2022-09-25T00:31:54.000Z,169,MH04-EP-836,"[72.97718,19.196316]",Point
2022-09-25T00:32:04.000Z,169,MH04-EP-836,"[72.977211,19.196423]",Point
2022-09-25T00:32:14.000Z,169,MH04-EP-836,"[72.97718,19.196573]",Point
2022-09-25T00:32:24.000Z,169,MH04-EP-836,"[72.977219,19.196735]",Point
2022-09-25T00:32:35.000Z,169,MH04-EP-836,"[72.977341,19.197014]",Point
2022-09-25T00:32:44.000Z,169,MH04-EP-836,"[72.977425,19.197374]",Point
2022-09-25T00:32:54.000Z,169,MH04-EP-836,"[72.977524,19.197655]",Point
2022-09-25T00:33:05.000Z,169,MH04-EP-836,"[72.977615,19.198067]",Point
2022-09-25T00:33:14.000Z,169,MH04-EP-836,"[72.977577,19.198561]",Point
2022-09-25T00:33:24.000Z,169,MH04-EP-836,"[72.977562,19.198982]",Point
2022-09-25T00:33:34.000Z,169,MH04-EP-836,"[72.977577,19.1991]",Point
2022-09-25T00:33:45.000Z,169,MH04-EP-836,"[72.977982,19.199097]",Point
2022-09-25T00:34:04.000Z,169,MH04-EP-836,"[72.979248,19.198917]",Point
2022-09-25T00:34:24.000Z,169,MH04-EP-836,"[72.979561,19.200069]",Point
2022-09-25T00:34:44.000Z,169,MH04-EP-836,"[72.979172,19.201927]",Point
2022-09-25T00:35:04.000Z,169,MH04-EP-836,"[72.978981,19.202642]",Point
2022-09-25T00:35:14.000Z,169,MH04-EP-836,"[72.978836,19.203024]",Point
2022-09-25T00:35:24.000Z,169,MH04-EP-836,"[72.978661,19.203505]",Point
2022-09-25T00:35:35.000Z,169,MH04-EP-836,"[72.978363,19.204113]",Point
2022-09-25T00:35:45.000Z,169,MH04-EP-836,"[72.978111,19.204531]",Point
2022-09-25T00:35:54.000Z,169,MH04-EP-836,"[72.977776,19.204794]",Point
2022-09-25T00:36:04.000Z,169,MH04-EP-836,"[72.977516,19.204966]",Point
2022-09-25T00:36:15.000Z,169,MH04-EP-836,"[72.977478,19.205282]",Point
2022-09-25T00:36:24.000Z,169,MH04-EP-836,"[72.977509,19.205952]",Point
2022-09-25T00:36:34.000Z,169,MH04-EP-836,"[72.977516,19.206367]",Point
2022-09-25T00:36:45.000Z,169,MH04-EP-836,"[72.977432,19.206926]",Point
2022-09-25T00:36:54.000Z,169,MH04-EP-836,"[72.977234,19.207245]",Point
2022-09-25T00:37:15.000Z,169,MH04-EP-836,"[72.976921,19.208044]",Point
2022-09-25T00:37:34.000Z,169,MH04-EP-836,"[72.977058,19.208902]",Point
2022-09-25T00:37:55.000Z,169,MH04-EP-836,"[72.977135,19.210314]",Point
2022-09-25T00:38:25.000Z,169,MH04-EP-836,"[72.977135,19.212276]",Point
2022-09-25T00:38:44.000Z,169,MH04-EP-836,"[72.97728,19.21327]",Point
2022-09-25T00:39:04.000Z,169,MH04-EP-836,"[72.977516,19.214243]",Point
2022-09-25T00:39:15.000Z,169,MH04-EP-836,"[72.97757,19.214647]",Point
2022-09-25T00:39:34.000Z,169,MH04-EP-836,"[72.977791,19.215977]",Point
2022-09-25T00:39:45.000Z,169,MH04-EP-836,"[72.977867,19.216377]",Point
2022-09-25T00:40:04.000Z,169,MH04-EP-836,"[72.977982,19.217501]",Point
2022-09-25T00:40:25.000Z,169,MH04-EP-836,"[72.977882,19.218813]",Point
2022-09-25T00:40:45.000Z,169,MH04-EP-836,"[72.977715,19.219709]",Point
2022-09-25T00:40:55.000Z,169,MH04-EP-836,"[72.977669,19.220127]",Point
2022-09-25T00:41:04.000Z,169,MH04-EP-836,"[72.977654,19.220678]",Point
2022-09-25T00:41:15.000Z,169,MH04-EP-836,"[72.977615,19.22122]",Point
2022-09-25T00:41:35.000Z,169,MH04-EP-836,"[72.977478,19.22226]",Point
2022-09-25T00:41:55.000Z,169,MH04-EP-836,"[72.977325,19.223625]",Point
2022-09-25T00:42:15.000Z,169,MH04-EP-836,"[72.977219,19.224651]",Point
2022-09-25T00:42:25.000Z,169,MH04-EP-836,"[72.977119,19.225498]",Point
2022-09-25T00:42:34.000Z,169,MH04-EP-836,"[72.977043,19.226242]",Point
2022-09-25T00:42:45.000Z,169,MH04-EP-836,"[72.976883,19.227333]",Point
2022-09-25T00:42:55.000Z,169,MH04-EP-836,"[72.976746,19.228189]",Point
2022-09-25T00:43:15.000Z,169,MH04-EP-836,"[72.976601,19.229736]",Point
2022-09-25T00:43:35.000Z,169,MH04-EP-836,"[72.976578,19.229977]",Point
2022-09-25T00:43:45.000Z,169,MH04-EP-836,"[72.976509,19.230465]",Point
2022-09-25T00:43:55.000Z,169,MH04-EP-836,"[72.976425,19.2314]",Point
2022-09-25T00:44:05.000Z,169,MH04-EP-836,"[72.976318,19.232403]",Point
2022-09-25T00:44:15.000Z,169,MH04-EP-836,"[72.976173,19.233412]",Point
2022-09-25T00:44:25.000Z,169,MH04-EP-836,"[72.976067,19.234407]",Point
2022-09-25T00:44:35.000Z,169,MH04-EP-836,"[72.976006,19.235046]",Point
2022-09-25T00:44:45.000Z,169,MH04-EP-836,"[72.97599,19.235081]",Point
2022-09-25T00:44:55.000Z,169,MH04-EP-836,"[72.97599,19.235081]",Point
2022-09-25T00:45:05.000Z,169,MH04-EP-836,"[72.975967,19.235226]",Point
2022-09-25T00:45:16.000Z,169,MH04-EP-836,"[72.97596,19.235226]",Point
2022-09-25T00:45:25.000Z,169,MH04-EP-836,"[72.97596,19.235226]",Point
2022-09-25T00:45:35.000Z,169,MH04-EP-836,"[72.97596,19.235222]",Point
2022-09-25T00:45:45.000Z,169,MH04-EP-836,"[72.975967,19.235222]",Point
2022-09-25T00:45:55.000Z,169,MH04-EP-836,"[72.975967,19.235222]",Point
2022-09-25T00:46:05.000Z,169,MH04-EP-836,"[72.975998,19.235264]",Point
2022-09-25T00:46:16.000Z,169,MH04-EP-836,"[72.976006,19.23527]",Point
2022-09-25T00:46:25.000Z,169,MH04-EP-836,"[72.975967,19.235365]",Point
2022-09-25T00:46:35.000Z,169,MH04-EP-836,"[72.975952,19.23539]",Point
2022-09-25T00:46:45.000Z,169,MH04-EP-836,"[72.975945,19.235386]",Point
2022-09-25T00:46:56.000Z,169,MH04-EP-836,"[72.975922,19.235415]",Point
2022-09-25T00:47:05.000Z,169,MH04-EP-836,"[72.975906,19.235542]",Point
2022-09-25T00:47:15.000Z,169,MH04-EP-836,"[72.975838,19.236153]",Point
2022-09-25T00:47:25.000Z,169,MH04-EP-836,"[72.975739,19.237019]",Point
2022-09-25T00:47:35.000Z,169,MH04-EP-836,"[72.975655,19.238047]",Point
2022-09-25T00:47:45.000Z,169,MH04-EP-836,"[72.975502,19.239365]",Point
2022-09-25T00:47:55.000Z,169,MH04-EP-836,"[72.975555,19.240843]",Point
2022-09-25T00:48:05.000Z,169,MH04-EP-836,"[72.975746,19.242167]",Point
2022-09-25T00:48:15.000Z,169,MH04-EP-836,"[72.975792,19.243429]",Point
2022-09-25T00:48:25.000Z,169,MH04-EP-836,"[72.975731,19.24482]",Point
2022-09-25T00:48:35.000Z,169,MH04-EP-836,"[72.975677,19.246107]",Point
2022-09-25T00:48:45.000Z,169,MH04-EP-836,"[72.975578,19.246843]",Point
2022-09-25T00:48:55.000Z,169,MH04-EP-836,"[72.975426,19.24728]",Point
2022-09-25T00:49:06.000Z,169,MH04-EP-836,"[72.975342,19.247429]",Point
2022-09-25T00:49:15.000Z,169,MH04-EP-836,"[72.975029,19.247965]",Point
2022-09-25T00:49:25.000Z,169,MH04-EP-836,"[72.974449,19.24888]",Point
2022-09-25T00:49:35.000Z,169,MH04-EP-836,"[72.973755,19.249937]",Point
2022-09-25T00:49:45.000Z,169,MH04-EP-836,"[72.973114,19.250959]",Point
2022-09-25T00:50:15.000Z,169,MH04-EP-836,"[72.972061,19.253189]",Point
2022-09-25T00:50:26.000Z,169,MH04-EP-836,"[72.971901,19.253683]",Point
2022-09-25T00:50:35.000Z,169,MH04-EP-836,"[72.971596,19.254496]",Point
2022-09-25T00:50:46.000Z,169,MH04-EP-836,"[72.971062,19.255793]",Point
2022-09-25T00:50:55.000Z,169,MH04-EP-836,"[72.970612,19.256981]",Point
2022-09-25T00:51:06.000Z,169,MH04-EP-836,"[72.970108,19.258297]",Point
2022-09-25T00:51:15.000Z,169,MH04-EP-836,"[72.969719,19.259232]",Point
2022-09-25T00:51:26.000Z,169,MH04-EP-836,"[72.969254,19.260185]",Point
2022-09-25T00:51:45.000Z,169,MH04-EP-836,"[72.968994,19.260958]",Point
2022-09-25T00:51:56.000Z,169,MH04-EP-836,"[72.968613,19.261938]",Point
2022-09-25T00:52:06.000Z,169,MH04-EP-836,"[72.968262,19.262814]",Point
2022-09-25T00:52:26.000Z,169,MH04-EP-836,"[72.968124,19.263098]",Point
2022-09-25T00:52:45.000Z,169,MH04-EP-836,"[72.967773,19.263983]",Point
2022-09-25T00:52:56.000Z,169,MH04-EP-836,"[72.967445,19.264853]",Point
2022-09-25T00:53:06.000Z,169,MH04-EP-836,"[72.967125,19.265631]",Point
2022-09-25T00:53:15.000Z,169,MH04-EP-836,"[72.966881,19.266237]",Point
2022-09-25T00:53:26.000Z,169,MH04-EP-836,"[72.966682,19.266844]",Point
2022-09-25T00:53:36.000Z,169,MH04-EP-836,"[72.9664,19.267483]",Point
2022-09-25T00:53:56.000Z,169,MH04-EP-836,"[72.965614,19.268993]",Point
2022-09-25T00:54:06.000Z,169,MH04-EP-836,"[72.96537,19.269426]",Point
2022-09-25T00:54:15.000Z,169,MH04-EP-836,"[72.965378,19.269417]",Point
2022-09-25T00:54:26.000Z,169,MH04-EP-836,"[72.965271,19.269598]",Point
2022-09-25T00:54:46.000Z,169,MH04-EP-836,"[72.965256,19.270258]",Point
2022-09-25T00:54:56.000Z,169,MH04-EP-836,"[72.965988,19.270723]",Point
2022-09-25T00:55:06.000Z,169,MH04-EP-836,"[72.966705,19.271009]",Point
2022-09-25T00:55:16.000Z,169,MH04-EP-836,"[72.966728,19.271017]",Point
2022-09-25T00:55:25.000Z,169,MH04-EP-836,"[72.966728,19.271017]",Point
2022-09-25T00:55:36.000Z,169,MH04-EP-836,"[72.966728,19.271017]",Point
2022-09-25T00:55:46.000Z,169,MH04-EP-836,"[72.967209,19.271254]",Point
2022-09-25T00:55:56.000Z,169,MH04-EP-836,"[72.967384,19.271324]",Point
2022-09-25T00:56:05.000Z,169,MH04-EP-836,"[72.9674,19.27133]",Point
2022-09-25T00:56:16.000Z,169,MH04-EP-836,"[72.967583,19.271339]",Point
2022-09-25T00:56:26.000Z,169,MH04-EP-836,"[72.967735,19.271055]",Point
2022-09-25T00:56:36.000Z,169,MH04-EP-836,"[72.968208,19.270969]",Point
2022-09-25T00:56:46.000Z,169,MH04-EP-836,"[72.968597,19.270962]",Point
2022-09-25T00:56:56.000Z,169,MH04-EP-836,"[72.96917,19.270821]",Point
2022-09-25T00:57:06.000Z,169,MH04-EP-836,"[72.969788,19.270685]",Point
2022-09-25T00:57:16.000Z,169,MH04-EP-836,"[72.970474,19.270491]",Point
2022-09-25T00:57:26.000Z,169,MH04-EP-836,"[72.971085,19.270494]",Point
2022-09-25T00:57:36.000Z,169,MH04-EP-836,"[72.971321,19.270517]",Point
2022-09-25T00:57:46.000Z,169,MH04-EP-836,"[72.971321,19.270517]",Point
2022-09-25T00:57:56.000Z,169,MH04-EP-836,"[72.971321,19.270517]",Point
2022-09-25T00:58:06.000Z,169,MH04-EP-836,"[72.971321,19.270517]",Point
2022-09-25T00:58:16.000Z,169,MH04-EP-836,"[72.971321,19.270517]",Point
2022-09-25T00:58:26.000Z,169,MH04-EP-836,"[72.971329,19.270508]",Point
2022-09-25T00:58:36.000Z,169,MH04-EP-836,"[72.971329,19.270508]",Point
2022-09-25T00:58:46.000Z,169,MH04-EP-836,"[72.971329,19.2705]",Point
2022-09-25T00:58:56.000Z,169,MH04-EP-836,"[72.971329,19.270493]",Point
2022-09-25T00:59:06.000Z,169,MH04-EP-836,"[72.971344,19.270502]",Point
2022-09-25T00:59:16.000Z,169,MH04-EP-836,"[72.971336,19.270502]",Point
2022-09-25T00:59:26.000Z,169,MH04-EP-836,"[72.971336,19.270502]",Point
2022-09-25T00:59:36.000Z,169,MH04-EP-836,"[72.971382,19.270502]",Point
2022-09-25T00:59:46.000Z,169,MH04-EP-836,"[72.971382,19.270502]",Point
2022-09-25T00:59:57.000Z,169,MH04-EP-836,"[72.971382,19.270502]",Point
2022-09-25T01:00:06.000Z,169,MH04-EP-836,"[72.971405,19.270502]",Point
2022-09-25T01:00:16.000Z,169,MH04-EP-836,"[72.971405,19.270508]",Point
2022-09-25T01:00:26.000Z,169,MH04-EP-836,"[72.971405,19.27051]",Point
2022-09-25T01:00:36.000Z,169,MH04-EP-836,"[72.971375,19.270508]",Point
2022-09-25T01:00:46.000Z,169,MH04-EP-836,"[72.971375,19.2705]",Point
2022-09-25T01:00:57.000Z,169,MH04-EP-836,"[72.971352,19.270496]",Point
2022-09-25T01:01:06.000Z,169,MH04-EP-836,"[72.971352,19.270496]",Point
2022-09-25T01:01:16.000Z,169,MH04-EP-836,"[72.971352,19.270496]",Point
2022-09-25T01:01:26.000Z,169,MH04-EP-836,"[72.971352,19.270496]",Point
2022-09-25T01:01:36.000Z,169,MH04-EP-836,"[72.971352,19.270496]",Point
2022-09-25T01:01:47.000Z,169,MH04-EP-836,"[72.971352,19.270496]",Point
2022-09-25T01:01:57.000Z,169,MH04-EP-836,"[72.971352,19.270496]",Point
2022-09-25T01:02:06.000Z,169,MH04-EP-836,"[72.971352,19.270496]",Point
2022-09-25T01:02:16.000Z,169,MH04-EP-836,"[72.971352,19.270496]",Point
2022-09-25T01:02:26.000Z,169,MH04-EP-836,"[72.971352,19.270496]",Point
2022-09-25T01:02:36.000Z,169,MH04-EP-836,"[72.971451,19.270533]",Point
2022-09-25T01:02:47.000Z,169,MH04-EP-836,"[72.971405,19.270517]",Point
2022-09-25T01:02:56.000Z,169,MH04-EP-836,"[72.971375,19.270515]",Point
2022-09-25T01:03:06.000Z,169,MH04-EP-836,"[72.971367,19.270515]",Point
2022-09-25T01:03:16.000Z,169,MH04-EP-836,"[72.971367,19.270515]",Point
2022-09-25T01:03:27.000Z,169,MH04-EP-836,"[72.971413,19.270494]",Point
2022-09-25T01:03:37.000Z,169,MH04-EP-836,"[72.971413,19.270494]",Point
2022-09-25T01:03:46.000Z,169,MH04-EP-836,"[72.971413,19.270494]",Point
2022-09-25T01:03:56.000Z,169,MH04-EP-836,"[72.971413,19.270494]",Point
2022-09-25T01:04:06.000Z,169,MH04-EP-836,"[72.971413,19.270494]",Point
2022-09-25T01:04:16.000Z,169,MH04-EP-836,"[72.971413,19.270494]",Point
2022-09-25T01:04:27.000Z,169,MH04-EP-836,"[72.971413,19.270494]",Point
2022-09-25T01:04:37.000Z,169,MH04-EP-836,"[72.971397,19.270489]",Point
2022-09-25T01:04:46.000Z,169,MH04-EP-836,"[72.971397,19.270487]",Point
2022-09-25T01:04:56.000Z,169,MH04-EP-836,"[72.971397,19.270487]",Point
2022-09-25T01:05:06.000Z,169,MH04-EP-836,"[72.971298,19.270512]",Point
2022-09-25T01:05:17.000Z,169,MH04-EP-836,"[72.971298,19.270512]",Point
2022-09-25T01:05:27.000Z,169,MH04-EP-836,"[72.971291,19.270493]",Point
2022-09-25T01:05:37.000Z,169,MH04-EP-836,"[72.971298,19.270494]",Point
2022-09-25T01:05:46.000Z,169,MH04-EP-836,"[72.971313,19.270493]",Point
2022-09-25T01:05:56.000Z,169,MH04-EP-836,"[72.971329,19.270489]",Point
2022-09-25T01:06:06.000Z,169,MH04-EP-836,"[72.971329,19.270489]",Point
2022-09-25T01:06:17.000Z,169,MH04-EP-836,"[72.97142,19.270477]",Point
2022-09-25T01:06:27.000Z,169,MH04-EP-836,"[72.971504,19.270252]",Point
2022-09-25T01:06:36.000Z,169,MH04-EP-836,"[72.971504,19.269806]",Point
2022-09-25T01:06:57.000Z,169,MH04-EP-836,"[72.971458,19.268812]",Point
2022-09-25T01:07:07.000Z,169,MH04-EP-836,"[72.971336,19.268354]",Point
2022-09-25T01:07:16.000Z,169,MH04-EP-836,"[72.971214,19.267847]",Point
2022-09-25T01:07:37.000Z,169,MH04-EP-836,"[72.972015,19.267273]",Point
2022-09-25T01:07:46.000Z,169,MH04-EP-836,"[72.97197,19.267122]",Point
2022-09-25T01:07:57.000Z,169,MH04-EP-836,"[72.971916,19.266672]",Point
2022-09-25T01:08:07.000Z,169,MH04-EP-836,"[72.971771,19.266306]",Point
2022-09-25T01:08:16.000Z,169,MH04-EP-836,"[72.971581,19.265724]",Point
2022-09-25T01:08:27.000Z,169,MH04-EP-836,"[72.971504,19.26519]",Point
2022-09-25T01:08:37.000Z,169,MH04-EP-836,"[72.970833,19.265078]",Point
2022-09-25T01:08:46.000Z,169,MH04-EP-836,"[72.97036,19.264915]",Point
2022-09-25T01:08:56.000Z,169,MH04-EP-836,"[72.969994,19.26473]",Point
2022-09-25T01:09:07.000Z,169,MH04-EP-836,"[72.969986,19.264721]",Point
2022-09-25T01:09:17.000Z,169,MH04-EP-836,"[72.969986,19.264721]",Point
2022-09-25T01:09:27.000Z,169,MH04-EP-836,"[72.969986,19.264721]",Point
2022-09-25T01:09:37.000Z,169,MH04-EP-836,"[72.969986,19.264721]",Point
2022-09-25T01:09:46.000Z,169,MH04-EP-836,"[72.969986,19.264721]",Point
2022-09-25T01:09:57.000Z,169,MH04-EP-836,"[72.969986,19.264721]",Point
2022-09-25T01:10:07.000Z,169,MH04-EP-836,"[72.969986,19.264721]",Point
