LastTrackdt,location.coordinates,location.type
2022-09-25T00:28:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:28:28.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:28:39.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:28:49.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:28:59.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:29:08.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:29:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:29:29.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:29:39.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:29:49.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:29:59.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:30:08.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:30:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:30:29.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:30:39.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:30:49.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:30:59.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:31:08.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:31:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:31:29.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:31:39.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:31:49.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:31:59.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:32:08.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:32:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:32:29.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:32:39.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:32:49.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:32:59.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:33:09.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:33:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:33:29.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:33:39.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:33:49.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:33:59.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:34:09.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:34:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:34:29.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:34:39.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:34:49.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:34:59.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:35:09.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:35:19.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:35:29.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:35:39.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:35:49.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:35:59.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:36:09.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:36:19.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:36:29.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:36:39.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:36:49.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:36:59.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:37:09.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:37:19.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:37:29.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:37:39.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:37:49.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:38:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:38:09.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:38:19.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:38:29.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:38:39.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:38:49.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:39:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:39:19.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:39:29.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:39:39.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:39:49.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:40:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:40:09.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:40:19.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:40:29.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:40:39.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:40:49.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:41:00.000Z,"[72.969757,19.265484]",Point
2022-09-25T00:41:10.000Z,"[72.969757,19.265484]",Point
